gene_set,gene,group,x,y,zscore,positive_mean_expression,x_plot,y_plot
IFNg,Cd40lg,PolyIC,2,23,-0.03364118800734253,0.6307973861694336,2.24,33.58
IFNg,Cd40lg,IFNg,3,23,1.1265489748796877,0.7054627537727356,3.3600000000000003,33.58
IFNg,Cd40lg,Multiple,4,23,0.9584627324483173,0.5933992266654968,4.48,33.58
IFNg,Cd40lg,OTI no interaction,5,23,-0.32258372620331144,1.2388713359832764,5.6000000000000005,33.58
IFNg,Cd40lg,C57BL/6,6,23,-2.1380458876920643,1.315494418144226,6.720000000000001,33.58
IFNg,Cd226,no_treatment,0,24,-1.7255895980773777,1.0337265729904175,0.0,35.04
IFNg,Cd226,LPS,1,24,0.2331680275418546,1.0600090026855469,1.12,35.04
IFNg,Cd226,PolyIC,2,24,-1.2500698997416422,1.0264216661453247,2.24,35.04
IFNg,Cd226,IFNg,3,24,1.084027231245383,1.0450507402420044,3.3600000000000003,35.04
IFNg,Cd226,Multiple,4,24,0.6872668392409788,0.915011465549469,4.48,35.04
IFNg,Cd226,OTI no interaction,5,24,0.10728962346627396,1.5962707996368408,5.6000000000000005,35.04
IFNg,Cd226,C57BL/6,6,24,0.8639077763245138,1.6880906820297241,6.720000000000001,35.04
IFNg,Il10,no_treatment,0,25,-1.247992116940999,0.0,0.0,36.5
IFNg,Il10,LPS,1,25,0.5000381990430495,0.5764107704162598,1.12,36.5
IFNg,Il10,PolyIC,2,25,-1.247992116940999,0.0,2.24,36.5
IFNg,Il10,IFNg,3,25,1.0163635377293043,1.4180150032043457,3.3600000000000003,36.5
IFNg,Il10,Multiple,4,25,1.558969100941405,1.0260672569274902,4.48,36.5
IFNg,Il10,OTI no interaction,5,25,-0.24628112195160165,0.9648614525794983,5.6000000000000005,36.5
IFNg,Il10,C57BL/6,6,25,-0.3331054818801588,1.549872875213623,6.720000000000001,36.5
IFNg,Entpd1,no_treatment,0,26,-0.05621115562237549,0.7054821252822876,0.0,37.96
IFNg,Entpd1,LPS,1,26,-0.4416937640231958,0.7589520812034607,1.12,37.96
IFNg,Entpd1,PolyIC,2,26,-1.1565068005280728,0.8014121651649475,2.24,37.96
IFNg,Entpd1,IFNg,3,26,0.7013715540475572,0.8581027388572693,3.3600000000000003,37.96
IFNg,Entpd1,Multiple,4,26,-1.370848531933967,0.5752027630805969,4.48,37.96
IFNg,Entpd1,OTI no interaction,5,26,1.6051496346036058,1.253925085067749,5.6000000000000005,37.96
IFNg,Entpd1,C57BL/6,6,26,0.7187390634564484,1.2882856130599976,6.720000000000001,37.96
IFNg,Itgam,no_treatment,0,27,0.8252234172217976,0.7110236883163452,0.0,39.42
IFNg,Itgam,LPS,1,27,-1.5732377826947614,0.0,1.12,39.42
IFNg,Itgam,PolyIC,2,27,-0.4809847736470073,0.8798811435699463,2.24,39.42
IFNg,Itgam,IFNg,3,27,1.7320905952790921,0.905858039855957,3.3600000000000003,39.42
IFNg,Itgam,Multiple,4,27,-0.09721134774979912,0.5219616889953613,4.48,39.42
IFNg,Itgam,OTI no interaction,5,27,-0.7131486540456438,1.0876686573028564,5.6000000000000005,39.42
IFNg,Itgam,C57BL/6,6,27,0.3072685456363225,1.5684311389923096,6.720000000000001,39.42
