gene,no_treatment,LPS,PolyIC,IFNg,Multiple,OTI no interaction,C57BL/6
Nr4a2,0.7440507239827946,0.7249680162266654,0.23230194357985065,0.31993682252027883,0.4909047288539725,-0.16795908134422585,-2.344203153819335
Nr4a3,0.6057181494721885,0.4695261164193274,0.4687256107829138,0.3712329237689144,0.5457413546280576,-0.06231616453328331,-2.398627990538119
Batf,0.26561077649578885,0.6950919307399515,0.4296866253740077,0.538741883859886,1.1313516358105244,-1.5942357281431443,-1.4662471241370119
Prdm1,0.8168135491556765,0.8181222503303028,-0.8773560517314972,-0.5283631242292257,-1.6281727388686291,1.4012917092031152,-0.0023355938597432015
Eomes,-0.5660577442692116,-0.9866904349643846,0.20822676420820652,-0.3604672145485928,-0.2930747311589713,-0.314494912971085,2.31255827370404
Slamf6,-0.46540445640450934,-0.5399015528474039,-0.5212945915512586,-0.48167103491970686,-0.7515184638756455,0.4812434850469536,2.27854661455157
Lair1,-0.5863889423936832,-1.0415222537651687,1.731025739881236,-0.7614754057678467,-0.8419448294482315,1.0336619440407608,0.4666437474529323
Il10,-1.247992116940999,0.5000381990430495,-1.247992116940999,1.0163635377293043,1.558969100941405,-0.24628112195160165,-0.3331054818801588
Ahr,0.47069491448839607,0.9627350167134415,0.35152327805545497,0.08679825789876708,0.33828797341184236,0.15273802966066538,-2.362777470228566
Il2,0.5684400110186417,0.4997633294575468,0.20538181785523396,0.45051415751196955,1.0239827085100237,-0.550193369234252,-2.197888655119165
Il4,-0.2829094790437808,2.2907037979606764,-0.2844059180210316,-0.9046852032076126,-0.4281350471393703,0.31153193417420905,-0.7021000847230902
Il17a,-0.5669044061084644,-0.5669044061084644,2.2466702631274784,-0.5669044061084644,0.5878517674148437,-0.5669044061084644,-0.5669044061084644
Il21,0.12688592918148117,1.4553217777078158,-1.0712660137302257,1.0303439474920448,0.6012463868093352,-1.0712660137302257,-1.0712660137302257
Csf2,-0.32373458729180254,1.951204528852224,-0.2504833568258821,0.5948605440627917,0.28660637631118424,-0.9896801790788765,-1.2687733260296383
Ifngr1,-0.4982584215725284,-0.5200436880105812,-0.49094630772005443,-0.4912001165230948,-0.8632844724053336,0.6725102525423653,2.191222753689227
Ifngr2,-0.5759788008036046,-0.34650980985490726,-0.4508352399028832,-0.5799170995929829,-0.9269928019439435,0.732503200184476,2.1477305519138445
Il12rb1,0.395002227317838,0.6037831488547426,0.2894564959578515,0.6238478614734126,0.7166147016978118,-0.30492966057200116,-2.323774774729653
Il12rb2,0.00401099467390743,0.2076520892993281,-0.2426338678724533,-0.18929843835577428,-1.2328153177247034,2.1905433767770015,-0.7374588367972942
Il18r1,-0.4878436675880552,-0.651736675571327,-0.46335423599103537,-0.4133049419507914,-0.7874753268184224,0.5648377485377242,2.2388770993819067
Il18rap,-0.717476500184266,-0.4288487456171392,-0.8153640515273018,-0.07676946811137719,-0.9097770862242623,0.9961731213983257,1.9520627302660207
Stat1,-0.505671580515544,-0.482882382855997,-0.5478881365431117,-0.43960076215256494,-0.8704701496254839,0.6458717322369458,2.200641279455755
Stat3,-0.5434026843322511,-0.5295726037458499,-0.44266223465236315,0.1506019599107381,-1.273723464481257,0.5771735079975506,2.0615855193034394
Stat4,0.2045838299822405,-0.5022146470771442,-0.9609608163422035,-0.7513696429459154,-0.8354644116791133,1.908356446666253,0.937069241395883
Stat5a,0.6275569778694455,0.535011117800353,0.4272154162934024,0.40342133011319437,0.7759685492915931,-0.5075502834899508,-2.261623107878037
Stat5b,-0.6646822809343427,-0.33358439643730714,0.0009158184618076401,-0.15142360535868155,-0.44292869800698426,2.370818828251976,-0.7791156659764741
Stat6,0.26745861892274675,1.0624423178510896,0.5890978824010473,0.23371384042780716,0.4243984949421071,-0.3146051934751871,-2.2625059610696154
Socs1,-0.5845333448954876,-0.40922751034994376,-0.47834826655013457,-0.4590317327157475,-0.7541410984886504,0.37382003387352736,2.311461919126436
Socs2,0.9167298774384482,0.5050138965404476,0.0628803732673133,-0.157108380842989,0.11727657931495626,0.829773929652336,-2.274566275370512
Socs3,-0.5933674073832331,-0.6570509564762914,-0.4797123628995056,-0.4690348022323507,-0.7772774295023783,0.8831119773268733,2.0933309811668863
Cish,0.5081902121657247,0.5962838456354134,0.5181060602602539,0.43218177737597663,0.7991998418098326,-0.6460506158690613,-2.2079111213781415
Cxcr3,0.3098819038438945,0.9390312889113027,0.2946308100308778,0.7809388915864853,0.5923850608385496,-0.8582085269911769,-2.0586594282199338
Cxcr4,-0.5224631002002411,-0.5359504373344027,-0.5513030382135742,-0.5197783782790285,-0.7299824830346551,0.6409089513727155,2.2185684856891856
Cxcr6,1.5165262494397131,-1.0842009822219112,-0.9308333344466657,-0.790469002347696,-0.5570857314946877,1.020617208251738,0.8254455928195132
Ccr2,0.5273135404386875,-1.065678723820575,1.6709983140839078,0.38989411161468834,0.6088302053244408,-1.065678723820575,-1.065678723820575
Ccr5,0.8876536773806039,-1.3184775615015314,0.3231073419474857,0.5737596478031773,0.5182779971281716,0.7898365784945136,-1.7741576812524196
Ccr6,-1.1334017459503802,-1.1334017459503802,0.8882359865440139,0.4741492412951207,0.8514800503762127,1.186339959635793,-1.1334017459503802
Ccr9,-0.5664718944560887,-0.5110994085974808,-0.6643325366430646,-0.3286952193702859,-1.002179373159751,1.2688433526828053,1.8039350795438658
Itga1,-0.911502997480816,1.892580786325379,-1.1783971472753347,-0.19154462130029204,-0.21618688768717267,0.9852446394116283,-0.38019377199339227
Itga4,-0.5149628472533055,-0.5111918382950833,-0.521740493697241,-0.518789959304816,-0.8033523324131007,0.6707519321305672,2.1992855388329797
Itgae,-0.7737980495218391,-0.43589338999244365,-0.5428564019500124,-0.3594097229108591,-0.9422345974437647,1.183938542905374,1.8702536189135435
Itgal,0.7326565906045094,0.3825121103159576,0.38253844316886715,0.4639339844819444,0.11009666805774199,0.34202049817890784,-2.413758294807931
Itgam,0.8252234172217976,-1.5732377826947614,-0.4809847736470073,1.7320905952790921,-0.09721134774979912,-0.7131486540456438,0.3072685456363225
Itgb1,0.40977469867602473,0.5210995116306356,0.3677504148580313,0.4786139760914773,0.8015812295933237,-0.23382004195652858,-2.344999788892963
Itgb2,0.7098367732821034,0.33410339914284665,0.5135681412441813,0.5846786363278694,0.5151392459114488,-0.3329609255930352,-2.3243652703154125
Itgb7,-0.5907944756677982,-0.5398114725702938,-0.5233008007730126,-0.46490792915033374,-0.7738340016146543,0.709081131521486,2.1835675482546066
Selplg,-0.4918113283784334,-0.6284711644684597,-0.448596454398412,-0.4200565847297422,-0.7032690846244835,0.3799529810143323,2.3122516355851976
Cd6,0.6143505731425565,0.4125565130735108,0.5834361288798573,0.4719952162541194,0.6725770263797307,-0.47135236796089225,-2.2835630897688834
Cd38,0.7276227368912084,1.2136271399197105,0.09407440811399713,-0.45947162501587663,1.0381360988148278,-0.9304874242318358,-1.6835013344920324
Cd52,-0.15694113815673902,0.1724357432046351,0.022216073503115042,0.2939800666444829,0.5607706505678332,-2.1992295806695514,1.306768184906221
Mki67,-0.06980275386856157,0.3088375789199855,-0.04955327869282568,0.7997205243723952,1.577520134115346,-0.7959509728081762,-1.7707712320381643
Top2a,0.23351770168473865,0.45333665828864755,0.2589759042054376,0.6258613241583306,1.2527501522351039,-0.8109447588586047,-2.013496981713655
Stmn1,0.26567278300587716,0.3936776097968934,0.31405389208262346,0.5741954589530904,1.3841494879416654,-1.208329420138922,-1.7234198116412274
Pcna,0.3367802339522725,0.4756972187578637,0.5446815538396087,0.5444729676258131,1.1196257980602415,-1.1573575798340061,-1.8639001924017915
Mcm2,0.5151838561401764,0.44021334321208927,0.46374777900341646,0.4910062166004354,1.016010183921374,-0.8421290817789201,-2.0840322970985707
Mcm3,0.3990471422505458,0.4473788719251997,0.4237451167881799,0.5486508124706839,1.1145315326768594,-0.911891175900682,-2.0214623002107857
Mcm4,0.413644776909624,0.38560953843426105,0.46600184951554213,0.510303074901202,1.1354543749069543,-0.8739659401056088,-2.0370476745619754
Mcm5,0.36884019592593015,0.42329602050683207,0.4170669996411229,0.5870653310108593,1.1294691322202308,-0.9103673468322836,-2.015370332472692
Mcm6,0.530356137006472,0.4876848538712857,0.3968400636059108,0.5395064891155552,0.9653237813257831,-0.8125035750622972,-2.107207749862708
Mcm7,0.3158227135582412,0.5641746957392146,0.38758116052517316,0.46695097342751724,1.1407635788014499,-0.8136658934042641,-2.0616272286473314
Cdk1,0.20628931902963457,0.3328730091044905,0.2668389194803038,0.5853936084766895,1.46887350775396,-1.126329431728181,-1.733938932116897
Cdk2,0.32257437991121424,0.4724498243332893,0.3704002244230007,0.342267078435624,1.335873652655594,-0.8782276015548818,-1.9653375582038406
Ccna2,0.08623147385223645,0.2530680384414021,0.2856685794236028,0.791529466515611,1.4325225884025306,-1.1901850821689968,-1.658835064466386
Ccnb1,0.19372953281534586,0.488894633616142,0.17064697044358001,0.606608010651138,1.4157821008515605,-1.131885797932304,-1.7437754504454626
Ccnb2,-1.2607827328195995,1.3066946192769988,-0.5973932648896205,0.9664659288862395,1.089432335456183,-0.968475720992799,-0.5359411649174033
Cenpf,0.02808122555119211,0.5585014217826106,-0.016437034606882023,0.7606137135722765,1.428474328003612,-1.0181890169503338,-1.7410446373524748
Birc5,0.23030723296536176,0.3404342023185674,0.22977322291989294,0.6621108730133353,1.4389043801323722,-1.2775701783141955,-1.6239597330353335
Ube2c,-0.15927356025028663,0.11051037168139186,0.32041127483754184,0.8738841563342256,1.5598681791910751,-1.3120921486018868,-1.3933082731920612
Hmgb2,0.17391566237530467,0.3909568180956104,0.36764497809059316,0.6260147381186397,1.3906287802544204,-1.5346853472534545,-1.414475629681113
Tuba1b,0.4064153007706941,0.4706402460195723,0.4857598668159012,0.572976656152575,1.127840234135037,-1.3267375999762014,-1.7368947039175773
Tbx21,0.6822038623832261,0.475835767655089,0.5696688736319221,0.49184611494273833,0.6608355136698886,-0.6796966266964273,-2.200693505586438
Bcl6,-0.6335977859959234,-0.33788109856467313,0.10168431310169629,-0.3415111646520335,-0.8658692067005728,-0.2748742294189361,2.3520491722304424
Rorc,-0.2687546851677998,2.1051696708084386,0.3689838127000753,-0.2235032881430548,-0.13664896432874096,-0.3800421935138358,-1.4652043523550833
Gata3,-0.576381417609214,1.0733054951811123,-0.007198083497217779,-0.1445401797869628,0.8691832752987357,0.8073878977736773,-2.021756987360128
Foxp3,0.19431082439622532,1.1792955740423416,-1.2113199432123112,-0.02051739871144457,-1.6987917439902562,0.7249619740553709,0.8320607134200754
Runx1,-0.8885663760216953,-0.2982253551424736,-0.6933276672097171,-0.3457581521211296,-0.8530693027433146,1.3758039712204053,1.7031428820179262
Runx2,-0.2123063879984779,0.7390379730216194,0.16028540331993021,0.3095623661263802,0.4445177125643034,0.868673324487521,-2.309770391521274
Runx3,-0.6637937308959134,-0.19715983511485397,-0.7313917926718111,-0.3330473570177029,-1.0232826290664605,1.9643381328269354,0.9843372119398037
