gene,N4,A2,Y3,Q4,T4,V4,G4,D4,Q4R7,Q4H7,Q7,E1,CATNB,LCMV,TB,MCMV,multi_peptide,no_interaction
Il4,-0.48193680962743185,-0.48193680962743185,-0.48193680962743185,1.7826072096949017,3.1031664819857316,-0.48193680962743185,-0.48193680962743185,-0.48193680962743185,-0.48193680962743185,-0.48193680962743185,-0.48193680962743185,-0.48193680962743185,-0.48193680962743185,-0.48193680962743185,-0.48193680962743185,-0.48193680962743185,0.6076462665915144,1.2536953765118977
Il17a,-0.2617750459754043,-0.2617750459754043,-0.2617750459754043,-0.2617750459754043,4.110661481221841,-0.2617750459754043,-0.2617750459754043,-0.2617750459754043,-0.2617750459754043,-0.2617750459754043,-0.2617750459754043,-0.2617750459754043,-0.2617750459754043,-0.2617750459754043,-0.2617750459754043,-0.2617750459754043,0.07773925438462695,-0.2617750459754043
Il21,-0.300121047301867,-0.300121047301867,-0.300121047301867,-0.300121047301867,-0.300121047301867,-0.300121047301867,-0.300121047301867,-0.300121047301867,-0.300121047301867,-0.300121047301867,3.986770920216089,-0.300121047301867,-0.300121047301867,-0.300121047301867,-0.300121047301867,-0.300121047301867,0.8151658366137832,-0.300121047301867
Csf2,0.3277433190174988,0.22766594015160838,-1.0515380397623577,-0.5775829046183241,-0.6059253325041614,1.8636434997387932,0.15660453579521902,0.8814649142380979,0.01489147764280318,1.0983328399683223,0.8246701791681735,0.8940364779178958,-1.5499517922117843,0.7838494686344417,-1.5499517922117843,-1.5499517922117843,0.6916576749921092,-0.8796586737447672
Ifngr1,-1.2623736061061286,-0.7107581035330541,-0.18186355427538226,-0.7519913996327351,-0.6369730271252735,-0.1758687095728226,0.22719441634569337,0.2647914151686101,-0.4045295213919807,-0.021713050421791096,-0.8346293734955786,0.04751889536825367,0.7839088162006207,0.8008615468081131,0.9830531379931586,0.5467247921537579,-1.6257923274292236,2.9524396529457646
Ifngr2,-1.095804488546204,0.30915940087043403,-0.5108365803326961,-0.7985935986148259,-0.5848837247166196,0.4096960191523709,0.722133320553453,1.112126794283531,-0.6453388265153533,-0.12008230761708992,-0.763325259827065,-0.07683942854083019,0.41102265114226594,0.7183609806190632,1.7742866625457285,-1.681842371503189,-1.250754781221699,2.0715155382687267
Il12rb1,0.09413595336777972,0.8577333783789226,-0.467213786899655,0.16357285699023974,1.1411401586786578,-0.07433086469532299,-1.1855751986128,-1.0267754209952236,0.4289112780344905,-0.11084876295896895,-0.3506496038358773,1.553529826690802,-0.05176882781807029,-0.9010856044283013,-1.4696060601582808,2.295363424249204,0.5174422875789474,-1.4139750335665542
Il12rb2,-1.2280139182494507,-1.2279749980165968,-0.18267484414400947,-1.5408829158867763,-0.410280365873392,1.1203991330029732,-0.3118029588032358,1.1641485473806759,-1.4273956137515322,0.6873582832377527,-0.046744906685243864,1.518549018231361,0.48590203690289496,0.15386533669336944,1.7586684190399142,-0.3824339634831081,-0.8944091423425762,0.7637228527469913
Il18r1,-1.4200715672810205,0.07591688119010036,-0.1340721057226285,-0.26706245626052555,-0.7352162718012806,0.127253624519343,-0.5890786437074611,0.07550739924358074,0.10432014373769358,-0.15005319769059067,0.18972678172798874,1.6425650733739845,-0.1950648154232082,-0.8327968163675258,2.098647228236592,-1.0393143017192483,-1.1256626651273203,2.174455709071529
Il18rap,-1.4526118825398888,-0.6437419385912502,1.481161983647034,-0.45967138874827107,-0.7352737227192381,-0.4708675247137715,2.0684942360043235,0.7668990943263211,0.6697228543073606,-0.20163195050688168,-0.5382035617743954,0.9051328924458346,-0.17681759474021883,0.3414463922908091,-0.7993869230710466,-1.2981363147681246,-0.9977851411746618,1.5412704903260663
Stat1,-1.3573197536931485,-1.3468915502824936,-0.7522774658041458,-0.7531748334476046,-0.8007121225297233,-0.08542505861539706,0.028799426928560017,0.6316903975577757,-0.3319055250023085,-0.19828006926099923,-0.18442977048826456,0.7011356464220133,0.44143117383461383,0.668070400445426,1.706195139102864,0.7819146531713742,-1.440029033265033,2.291208344926488
Stat3,-1.8015837629061155,-0.878716075497149,-0.8814074614874426,-0.06261805509552772,0.31159196393157945,0.015538472630276058,0.8098380215378236,0.11344318701059732,-1.162119949407172,1.1828401688316574,-0.874347089877309,0.5809246483334696,1.6875540182404292,1.4005956978537737,1.232663329275678,-0.7236077946718064,-1.2750889922763176,0.32449967357355924
Stat4,1.4963399721185773,1.8174717561697336,1.201057483000403,0.2652165921803392,0.37525932328013406,-1.1168187470124846,-1.5745680303508405,-1.3196307789194444,0.2571376733386829,-0.6510804683579506,-0.16720671057631445,-0.45419933243216154,0.5194364837581076,-0.2716363205594108,-1.1059947942351747,-0.7432649281911402,-0.10293843452864217,1.5754192613175861
Stat5a,0.635762696915649,0.315968443898825,0.4064621625393255,1.0679133776534289,0.8523972336404716,0.32028386494156547,1.2972893167889652,-1.6861493615762813,0.026740477612133814,1.052182476824364,-1.0642369322398888,0.5025571869217099,-0.7068617479898723,-0.30541882131809367,-2.1185863134795686,0.08050874202219316,0.8914855927591676,-1.5682983959140968
Stat5b,-1.2525521933352728,-1.64580061416644,-0.07296525741901755,-0.16931741878869347,1.7561938684810248,0.1758206007894059,1.2615042177258193,-1.0601210274379842,-0.6343512837288207,1.4832318898975108,0.4359790048458938,-0.7056391300235763,-0.47451277466191405,0.6606853044928221,-0.31249597026849063,-0.49652277867796846,-0.701288628854283,1.7521521911299878
