gene,no_treatment,LPS,PolyIC,IFNg
Ifitm1,-1.0238381082710288,-0.6602431142015097,0.10117295225148372,1.5829082702210548
Ifitm2,-0.5120872782184595,1.7116560091255253,-0.3894064248011249,-0.810162306105941
Ifitm3,-0.7129168555122537,1.7225767078545788,-0.5907733202379497,-0.41888653210437543
Oas1a,-0.22539637130795534,-1.5020374247029273,0.5466472756882599,1.1807865203226229
Oas1g,-1.69898055252768,0.43804201859468667,0.3788730836690464,0.8820654502639469
Oas2,0.8905038737392156,0.8421887426603574,-0.16043940175644428,-1.5722532146431287
Oas3,-0.13394953200233553,-1.439883287965755,0.2079868947108446,1.365845925257246
Mx1,0.4086802393910476,-1.6933058069566922,0.37720480423831254,0.9074207633273321
Mx2,0.4376011446260372,0.8235972299273225,0.44988268926961467,-1.7110810638229745
Rsad2,-1.1403407621153439,0.8305517351683495,1.145304060292049,-0.8355150333450545
Rigi,1.413435343780079,0.10279001479766743,-1.407021406620413,-0.10920395195733366
Ifih1,-0.34728262026850437,-1.3494920849509373,0.29217530034100503,1.4045994048784367
Usp18,-0.30435184838891316,-1.4959914597383133,1.056315003606653,0.7440283045205734
Gbp2,0.7578990766712976,-1.6236188073685645,0.8882254502804553,-0.022505719583188505
Gbp3,-1.0607969932205799,-0.17022175280534133,-0.4062613247251471,1.6372800707510682
Gbp4,-0.5891631709103297,-0.775424888177849,-0.34740318695555594,1.7119912460437348
Gbp5,0.5822581440939298,-1.4310270448079276,1.215880731856463,-0.3671118311424653
Tlr2,-0.15923338958192818,0.47685144137312235,1.2007528184297738,-1.5183708702209682
Tlr3,1.5818172196599765,-0.40657641098616915,-1.1541689134827025,-0.021071895191105014
Tlr4,0.4411851931277902,0.6239589821868549,0.6609028297183591,-1.7260470050330041
Tlr7,-0.2754552492070216,1.2575460975663464,0.4734365613867817,-1.4555274097461066
Tlr9,0.4919510913390463,0.1304997895856196,1.0205461951919341,-1.6429970761166
Cd14,-0.6014648919635858,1.7282974883877344,-0.6538373278066518,-0.47299526861749686
Ly96,-0.0947973557347154,1.007053280045046,0.6754089830606267,-1.5876649073709572
Myd88,0.5774738150752541,-1.7320000709058323,0.5664393212019476,0.5880869346286307
Ticam1,-1.358626344561235,1.4095681126865642,-0.3135287425664255,0.2625869744410962
Traf6,-0.8767505657873664,-0.7762917582042648,1.6210037260215586,0.0320385979700725
Map3k8,0.6712295383082275,-1.7290132837481804,0.5129114868302329,0.54487225860972
