gene_id	gene_name	gene_biotype	chrom	strand	reference_count	test_count	reference_cpm	test_cpm	log2_fc	pvalue	fdr	neg_log10_fdr	significant	comparison	reference	test
ENSG00000307203	ENSG00000307203	lncRNA	14	-	10	23	2.7761961171565868	2.4177992917530022	-0.1671410738552142	0.6989943459231462	0.7578962986689879	0.120390213888839	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000259250	ENSG00000259250	lncRNA	15	+	10	23	2.7761961171565868	2.4177992917530022	-0.1671410738552142	0.6989943459231462	0.7578962986689879	0.120390213888839	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000167191	GPRC5B	protein_coding	16	-	10	23	2.7761961171565868	2.4177992917530022	-0.1671410738552142	0.6989943459231462	0.7578962986689879	0.120390213888839	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000077238	IL4R	protein_coding	16	+	10	23	2.7761961171565868	2.4177992917530022	-0.1671410738552142	0.6989943459231462	0.7578962986689879	0.120390213888839	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000136717	BIN1	protein_coding	2	-	10	23	2.7761961171565868	2.4177992917530022	-0.1671410738552142	0.6989943459231462	0.7578962986689879	0.120390213888839	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000294946	ENSG00000294946	lncRNA	3	+	10	23	2.7761961171565868	2.4177992917530022	-0.1671410738552142	0.6989943459231462	0.7578962986689879	0.120390213888839	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000306802	ENSG00000306802	lncRNA	3	-	10	23	2.7761961171565868	2.4177992917530022	-0.1671410738552142	0.6989943459231462	0.7578962986689879	0.120390213888839	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000279464	ENSG00000279464	TEC	4	-	10	23	2.7761961171565868	2.4177992917530022	-0.1671410738552142	0.6989943459231462	0.7578962986689879	0.120390213888839	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000301775	ENSG00000301775	lncRNA	5	+	10	23	2.7761961171565868	2.4177992917530022	-0.1671410738552142	0.6989943459231462	0.7578962986689879	0.120390213888839	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000088970	KIZ	protein_coding	20	+	86	216	23.875286607546645	22.706289000810802	-0.07090334764816514	0.6990357926234585	0.7578962986689879	0.120390213888839	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000111364	DDX55	protein_coding	12	+	109	302	30.260537677006795	31.74675591780029	0.06807330907202981	0.6990840094374113	0.7578962986689879	0.120390213888839	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000136933	RABEPK	protein_coding	9	+	182	498	50.52676933224987	52.350610751869354	0.05066584078416215	0.6992311266819582	0.7579929667661207	0.12033482406297895	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000279114	ENSG00000279114	TEC	6	+	19	57	5.2747726225975144	5.991937375213962	0.1688849403295259	0.7009144332696158	0.7596918119959044	0.1193625544225676	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000197180	ATP6AP1-DT	lncRNA	X	-	19	57	5.2747726225975144	5.991937375213962	0.1688849403295259	0.7009144332696158	0.7596918119959044	0.1193625544225676	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000048028	USP28	protein_coding	11	-	87	219	24.152906219262306	23.021654125822067	-0.06776821024706345	0.7010413142066454	0.759766375824254	0.11931993046688738	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
