ID,gene,UMI_count
00140_2,ACAP3_P1P2,30
00140_3,ACAP3_P1P2,72
00141_1,ACAT1_P1P2,107
00141_2,ACAT1_P1P2,93
00141_3,ACAT1_P1P2,178
00142_1,ACAT2_P1P2,31
00142_2,ACAT2_P1P2,50
00142_3,ACAT2_P1P2,188
00143_1,ACBD3_P1P2,83
00143_2,ACBD3_P1P2,115
00143_3,ACBD3_P1P2,150
00144_1,ACBD4_P1,29
00144_2,ACBD4_P1,74
00144_3,ACBD4_P1,98
00145_1,ACBD4_P2,43
00145_2,ACBD4_P2,52
00145_3,ACBD4_P2,102
00146_1,ACBD5_P1P2,58
00146_2,ACBD5_P1P2,148
00146_3,ACBD5_P1P2,79
00147_1,ACBD6_P1P2,94
00147_2,ACBD6_P1P2,41
00147_3,ACBD6_P1P2,25
00148_1,ACBD7_P1P2,18
00148_2,ACBD7_P1P2,129
00148_3,ACBD7_P1P2,27
00149_1,ACCS_P1P2,2613
00149_2,ACCS_P1P2,3594
00149_3,ACCS_P1P2,823
00150_1,ACCSL_ENST00000378832.1,179
00150_2,ACCSL_ENST00000378832.1,60
00150_3,ACCSL_ENST00000378832.1,255
00151_1,ACD_P1P2,46
00151_2,ACD_P1P2,50
00151_3,ACD_P1P2,41
00152_1,ACE_P1,26
00152_2,ACE_P1,73
00152_3,ACE_P1,66
00153_1,ACE_P2,41
00153_2,ACE_P2,189
00153_3,ACE_P2,28
00154_1,ACE2_P1P2,739
00154_2,ACE2_P1P2,372
00154_3,ACE2_P1P2,52
00155_1,ACER1_P1P2,54
00155_2,ACER1_P1P2,169
00155_3,ACER1_P1P2,169
00156_1,ACER2_P1P2,61
00156_2,ACER2_P1P2,126
00156_3,ACER2_P1P2,25
00157_1,ACER3_P1P2,50
00157_2,ACER3_P1P2,74
00157_3,ACER3_P1P2,35
00158_1,ACHE_P1,44
00158_2,ACHE_P1,19
00158_3,ACHE_P1,97
00159_1,ACHE_P2,76
00159_2,ACHE_P2,26
00159_3,ACHE_P2,41
00160_1,ACIN1_P1,227
00160_2,ACIN1_P1,432
00160_3,ACIN1_P1,196
00161_1,ACIN1_P2,101
00161_2,ACIN1_P2,59
00161_3,ACIN1_P2,402
00162_1,ACKR1_CP,353
00162_2,ACKR1_CP,139
00162_3,ACKR1_CP,62
00163_1,ACKR2_P1P2,54
00163_2,ACKR2_P1P2,102
00163_3,ACKR2_P1P2,123
00164_1,ACKR3_P1,318
00164_2,ACKR3_P1,73
00164_3,ACKR3_P1,378
00165_1,ACKR3_P2,36
00165_2,ACKR3_P2,54
00165_3,ACKR3_P2,41
00166_1,ACKR4_P1P2,99
00166_2,ACKR4_P1P2,77
00166_3,ACKR4_P1P2,52
00167_1,ACLY_P1P2,29
00167_2,ACLY_P1P2,3
00167_3,ACLY_P1P2,14
00168_1,ACMSD_P1P2,82
00168_2,ACMSD_P1P2,153
00168_3,ACMSD_P1P2,169
00169_1,ACN9_P1P2,66
00169_2,ACN9_P1P2,39
00169_3,ACN9_P1P2,75
00170_1,ACO1_P1P2,63
00170_2,ACO1_P1P2,134
00170_3,ACO1_P1P2,94
00171_1,ACO2_P1P2,67
00171_2,ACO2_P1P2,248
00171_3,ACO2_P1P2,299
00172_1,ACOD1_CP,17
00172_2,ACOD1_CP,62
00172_3,ACOD1_CP,84
00173_1,ACOT1_P1P2,63
00173_2,ACOT1_P1P2,118
00173_3,ACOT1_P1P2,154
00174_1,ACOT11_P1,136
00174_2,ACOT11_P1,48
00174_3,ACOT11_P1,132
00175_1,ACOT11_P2,58
00175_2,ACOT11_P2,114
00175_3,ACOT11_P2,16
00176_1,ACOT12_P1P2,87
00176_2,ACOT12_P1P2,83
00176_3,ACOT12_P1P2,86
00177_1,ACOT13_P1P2,79
00177_2,ACOT13_P1P2,48
00177_3,ACOT13_P1P2,146
00178_1,ACOT2_P1P2,203
00178_2,ACOT2_P1P2,187
00178_3,ACOT2_P1P2,381
00179_1,ACOT4_P1P2,80
00179_2,ACOT4_P1P2,68
00179_3,ACOT4_P1P2,17
00180_1,ACOT6_P1P2,112
00180_2,ACOT6_P1P2,74
00180_3,ACOT6_P1P2,161
00181_1,ACOT7_P1P2,199
00181_2,ACOT7_P1P2,69
00181_3,ACOT7_P1P2,59
00182_1,ACOT8_P1P2,55
00182_2,ACOT8_P1P2,89
00182_3,ACOT8_P1P2,62
00183_1,ACOT9_P1P2,183
00183_2,ACOT9_P1P2,206
00183_3,ACOT9_P1P2,115
00184_1,ACOX1_P1P2,24
00184_2,ACOX1_P1P2,61
00184_3,ACOX1_P1P2,43
00185_1,ACOX2_P1,129
00185_2,ACOX2_P1,54
00185_3,ACOX2_P1,17
00186_1,ACOX2_P2,46
00186_2,ACOX2_P2,51
00186_3,ACOX2_P2,150
00187_1,ACOX3_P1,35
00187_2,ACOX3_P1,71
00187_3,ACOX3_P1,99
00188_1,ACOX3_P2,77
00188_2,ACOX3_P2,52
00188_3,ACOX3_P2,263
00189_1,ACOXL_P1P2,45
00189_2,ACOXL_P1P2,197
00189_3,ACOXL_P1P2,114
00190_1,ACP1_P1P2,61
00190_2,ACP1_P1P2,45
00190_3,ACP1_P1P2,38
00191_1,ACP2_P1P2,38
00191_2,ACP2_P1P2,27
00191_3,ACP2_P1P2,52
00192_1,ACP5_P1,55
00192_2,ACP5_P1,20
00192_3,ACP5_P1,109
00193_1,ACP5_P2,73
00193_2,ACP5_P2,240
00193_3,ACP5_P2,98
00194_1,ACP6_P1P2,60
00194_2,ACP6_P1P2,38
00194_3,ACP6_P1P2,31
00195_1,ACPL2_P1P2,88
00195_2,ACPL2_P1P2,127
00195_3,ACPL2_P1P2,92
00196_1,ACPP_P1P2,57
00196_2,ACPP_P1P2,164
00196_3,ACPP_P1P2,135
00197_1,ACPT_ENST00000270593.1,45
00197_2,ACPT_ENST00000270593.1,163
00197_3,ACPT_ENST00000270593.1,52
00198_1,ACR_P1P2,134
00198_2,ACR_P1P2,90
00198_3,ACR_P1P2,281
00199_1,ACRBP_P1P2,145
00199_2,ACRBP_P1P2,71
00199_3,ACRBP_P1P2,55
00200_1,ACRC_P1P2,79
00200_2,ACRC_P1P2,33
00200_3,ACRC_P1P2,135
00201_1,ACRV1_P1P2,84
00201_2,ACRV1_P1P2,205
00201_3,ACRV1_P1P2,339
00202_1,ACSBG1_P1P2,145
00202_2,ACSBG1_P1P2,301
00202_3,ACSBG1_P1P2,277
00203_1,ACSBG2_P1P2,203
00203_2,ACSBG2_P1P2,179
00203_3,ACSBG2_P1P2,139
00204_1,ACSF2_P1P2,31
00204_2,ACSF2_P1P2,69
00204_3,ACSF2_P1P2,109
00205_1,ACSF3_P1P2,126
00205_2,ACSF3_P1P2,59
00205_3,ACSF3_P1P2,33
00206_1,ACSL1_P1P2,134
00206_2,ACSL1_P1P2,145
00206_3,ACSL1_P1P2,46
00207_1,ACSL3_P1P2,77
00207_2,ACSL3_P1P2,46
00207_3,ACSL3_P1P2,63
00208_1,ACSL4_P1P2,64
00208_2,ACSL4_P1P2,44
00208_3,ACSL4_P1P2,83
00209_1,ACSL5_P1,26
00209_2,ACSL5_P1,37
00209_3,ACSL5_P1,127
00210_1,ACSL5_P2,107
00210_2,ACSL5_P2,118
00210_3,ACSL5_P2,76
00211_1,ACSL6_P1,17
00211_2,ACSL6_P1,18
00211_3,ACSL6_P1,3
00212_1,ACSL6_P2,68
00212_2,ACSL6_P2,206
00212_3,ACSL6_P2,260
00213_1,ACSM1_P1P2,102
00213_2,ACSM1_P1P2,42
00213_3,ACSM1_P1P2,49
