Gene	GeneID	Transcript	MLE_sgRNA	MLE_beta	MLE_z	MLE_p-value	MLE_fdr	MLE_S_sgRNA	MLE_B_beta	MLE_B_z	MLE_B_p-value	MLE_B_fdr	MLE_C_beta	MLE_C_z	MLE_C_p-value	MLE_C_fdr	B_lfc	B_neg_p-value	B_neg_fdr	B_neg_rank	B_neg_goodsgrna	B_pos_p-value	B_pos_fdr	B_pos_rank	B_pos_goodsgrna	C_lfc	C_neg_p-value	C_neg_fdr	C_neg_rank	C_neg_goodsgrna	C_pos_p-value	C_pos_fdr	C_pos_rank	C_pos_goodsgrna	DepMap	Surfaceome
TSEN54	283989	P1P2	3	0.68447	1.3071	0.0	0.0	3	0.72837	1.0758	0.00058225	0.047445	0.64305	0.94971	0.0034487	0.17701	1.1924	0.9996	1.0	22350.0	0.0	1.9798e-06	0.00131	31.0	3.0	0.88711	0.99999	1.0	22455.0	0.0	3.2337e-05	0.014463	50.0	3.0	-0.9700130200957838	
UBE2N	7334	P1P2	3	0.57333	1.4016	0.00058225	0.039514	3	0.5468	1.1432	0.0020603	0.10824	0.60511	1.2651	0.0039414	0.18684	0.76577	0.99998	1.0	22426.0	0.0	9.8772e-05	0.025846	86.0	3.0	0.85913	0.99999	1.0	22454.0	0.0	3.2777e-05	0.014463	51.0	3.0	-1.9351133580094655	
UFM1	51569	P1P2	3	0.44817	1.5066	0.0028665	0.11324	3	0.49759	1.558	0.0034935	0.154	0.40064	1.2544	0.01581	0.34916	0.64559	1.0	1.0	22465.0	0.0	5.4996e-06	0.003019	41.0	3.0	0.56074	0.99998	1.0	22439.0	0.0	7.4134e-05	0.02468	67.0	3.0	-0.2376091258807066	
UGCG	7357	P1P2	3	0.50998	1.4467	0.0014332	0.074766	3	0.53237	1.3678	0.0024186	0.12217	0.48944	1.2575	0.0082411	0.2684	0.87038	1.0	1.0	22484.0	0.0	2.1998e-07	0.000236	21.0	3.0	0.61441	0.99999	1.0	22465.0	0.0	1.7819e-05	0.010025	40.0	3.0	-0.1531065414488346	nonsurface
USP8	9101	P1P2	3	0.61857	1.372	0.00022394	0.018868	3	0.65952	1.2698	0.00076141	0.057047	0.58205	1.1206	0.0045237	0.20322	1.0176	1.0	1.0	22460.0	0.0	5.9395e-06	0.003182	42.0	3.0	0.90858	1.0	1.0	22491.0	0.0	1.9798e-06	0.002785	14.0	3.0	-0.9526008373638586	
VMA21	203547	P1P2	3	0.83745	1.2151	0.0	0.0	3	0.8114	0.99953	0.00044789	0.041841	0.8636	1.0638	0.001478	0.12143	1.0673	1.0	1.0	22502.0	0.0	2.1998e-07	0.000236	3.0	3.0	1.4157	1.0	1.0	22495.0	0.0	1.0999e-06	0.00225	10.0	3.0	-0.2855878965632886	nonsurface
VPS36	51028	P1P2	3	0.70668	1.2592	0.0	0.0	3	0.82875	1.2888	0.0004031	0.038298	0.57743	0.89797	0.004658	0.208	1.2492	1.0	1.0	22488.0	0.0	2.1998e-07	0.000236	17.0	3.0	0.97473	0.99998	1.0	22430.0	0.0	0.00010141	0.030029	76.0	3.0	-0.1035144202147093	
VPS8	23355	P1P2	3	0.63329	1.3693	0.00013437	0.012712	3	0.6398	1.2384	0.00094057	0.068182	0.62252	1.205	0.0036279	0.17802	0.88421	0.99999	1.0	22443.0	0.0	9.0193e-06	0.004142	48.0	3.0	0.94097	1.0	1.0	22476.0	0.0	1.0339e-05	0.007651	29.0	3.0	-0.0334564020778279	
WDR7	23335	P1P2	3	0.99839	1.104	0.0	0.0	3	0.93064	0.91885	0.00031352	0.033981	1.0683	1.0547	0.00053747	0.056604	1.1724	1.0	1.0	22479.0	0.0	1.0999e-06	0.000917	26.0	3.0	1.3316	1.0	1.0	22496.0	0.0	1.0999e-06	0.00225	9.0	3.0	-0.912215232394064	
XPOT	11260	P1P2	3	0.70194	1.2936	0.0	0.0	3	0.66124	0.92738	0.00076141	0.057047	0.7526	1.0555	0.0022842	0.15044	1.0546	0.99498	1.0	22080.0	0.0	4.6856e-05	0.015064	70.0	3.0	0.99281	0.99999	1.0	22452.0	0.0	4.1577e-05	0.017654	53.0	3.0	-0.6633905075888028	
ZFYVE20	64145	P1P2	3	0.50452	1.4537	0.0015228	0.076577	3	0.54039	1.3675	0.0021947	0.11422	0.47347	1.1981	0.0088682	0.27692	0.71879	0.99999	1.0	22449.0	0.0	3.1018e-05	0.011258	61.0	3.0	0.62638	0.99998	1.0	22441.0	0.0	6.0495e-05	0.021272	64.0	3.0	-0.061009024174838	
ZNF559	84527	P1P2	3	0.83708	1.2306	0.0	0.0	3	0.88322	1.0772	0.0004031	0.038298	0.78933	0.96267	0.0020155	0.14469	1.2354	1.0	1.0	22487.0	0.0	2.1998e-07	0.000236	18.0	3.0	1.0569	1.0	1.0	22482.0	0.0	4.6196e-06	0.00452	23.0	3.0	-0.4050100306008389	
ZNF71	58491	P1P2	3	0.67644	1.3151	0.0	0.0	3	0.60813	0.96511	0.0012093	0.079882	0.74691	1.1854	0.0024634	0.16035	0.88086	1.0	1.0	22470.0	0.0	2.8598e-06	0.001788	36.0	3.0	0.91118	1.0	1.0	22473.0	0.0	1.1219e-05	0.007651	32.0	3.0	-0.0077378352329465	
ZPR1	8882	CP	3	0.83425	1.2301	0.0	0.0	3	0.83388	1.0578	0.0004031	0.038298	0.83909	1.0644	0.0015228	0.12143	1.0423	1.0	1.0	22482.0	0.0	6.5995e-07	0.000594	23.0	3.0	1.0964	1.0	1.0	22493.0	0.0	1.5399e-06	0.002666	12.0	3.0	-1.5878325587595423	
NTC_0916			3	1.3023	0.73847	0.0	0.0	3	1.1174	0.5228	8.9578e-05	0.011696	1.5344	0.71795	0.00013437	0.024	1.2008	0.99999	1.0	22442.0	0.0	3.5857e-05	0.012044	67.0	3.0	1.2188	0.99983	1.0	22389.0	0.0	0.00015069	0.039431	86.0	3.0		
