Gene,MLE_beta,MLE_z,absz,MLE_fdr,rra_maxfdr,B_lfc,C_lfc,tier,origin,DepMap,surface,program,program_evidence,likely_general
DGCR8,0.92815,1.1613,1.1613,0.0,0.003786,1.354,1.1694,T1-core,new,-0.4236851799905263,False,Spliceosome / RNA processing (likely general),rna processing,True
ASCC3,0.89172,1.1855,1.1855,0.0,0.010689,1.3614,1.1208,T1-core,new,-0.2470821616584619,False,Ubiquitin–proteasome / protein degradation,ubiquitin-dependent protein catab,False
PGAM5,0.90396,1.188,1.188,0.0,0.002785,1.288,1.3036,T1-core,new,-0.1454869964934431,False,Autophagy–secretion & DAMP,macroautophagy,False
APOBEC2,0.90851,1.1883,1.1883,0.0,0.009767,1.3555,1.3442,T1-core,new,-0.0930314091908054,False,Other / unclear,no keyword match,True
VMA21,0.83745,1.2151,1.2151,0.0,0.00225,1.0673,1.4157,T1-core,new,-0.2855878965632886,False,Other / unclear,no keyword match,True
RELL2,0.79967,1.2184,1.2184,0.0,0.025955,1.4202,0.90534,T1-core,new,-0.2662624321001686,False,Cytokine / GPCR / surface receptor signaling,mapk cascade,False
DICER1,0.8544,1.2223,1.2223,0.0,0.000825,1.2367,1.2809,T1-core,new,-0.2487781268777871,False,Spliceosome / RNA processing (likely general),rna processing,True
ZPR1,0.83425,1.2301,1.2301,0.0,0.002666,1.0423,1.0964,T1-core,new,-1.5878325587595423,False,Spliceosome / RNA processing (likely general),pre-mrna,True
ZNF559,0.83708,1.2306,1.2306,0.0,0.00452,1.2354,1.0569,T1-core,new,-0.4050100306008389,False,Transcription / chromatin (likely general),transcription by rna pol,True
ATP6V1F,0.79759,1.2388,1.2388,0.0,0.00495,1.0866,1.095,T1-core,new,-2.3280226716123247,False,Polarized exocytosis & fusion,synaptic vesicle,False
SLC35A3,0.77657,1.2455,1.2455,0.0,0.049132,1.0238,1.1159,T1-core,new,-0.013048354295439,False,Transport — ion channels & solute carriers,solute carrier,False
CDS2,0.67318,1.2491,1.2491,0.006135,0.039427,1.1663,0.99818,T1-core,new,-0.9039845373093536,False,Other / unclear,no keyword match,True
MXRA8,0.77767,1.2549,1.2549,0.0,0.002785,1.0121,1.1711,T1-core,new,0.0639760867404109,True,Other / unclear,no keyword match,True
EMC7,0.78139,1.2563,1.2563,0.0,0.000825,1.0478,1.187,T1-core,new,-0.6855502910689616,False,Membrane-protein biogenesis (ER/GET/ERAD),tail-anchored,False
ANO8,0.78978,1.2566,1.2566,0.0,0.007651,1.157,1.2485,T1-core,new,0.2385708390503004,False,Other / unclear,no keyword match,True
VPS36,0.70668,1.2592,1.2592,0.0,0.030029,1.2492,0.97473,T1-core,new,-0.1035144202147093,False,Ubiquitin–proteasome / protein degradation,ubiquitin-dependent protein catab,False
ATP6V1G1,0.77405,1.2613,1.2613,0.0,0.019072,1.0173,1.0705,T1-core,new,-1.2655507999324076,False,Polarized exocytosis & fusion,synaptic vesicle,False
ATP6AP2,0.63943,1.2622,1.2622,0.0088889,0.029649,0.58546,0.99718,T1-core,new,-1.5249300166922546,False,Polarized exocytosis & fusion,synaptic vesicle,False
SMARCA4,0.73494,1.2639,1.2639,0.0,0.017804,0.84861,1.0648,T1-core,new,-0.4454671978203501,False,Cytokine / GPCR / surface receptor signaling,wnt signal,False
ATP6AP1,0.77452,1.2721,1.2721,0.0,0.000825,1.0956,1.1116,T1-core,new,-1.0739386490478304,False,Polarized exocytosis & fusion,synaptic vesicle,False
OTUD7B,0.74386,1.2741,1.2741,0.0,0.005684,1.1515,1.1348,T1-core,new,0.172188242898525,False,Ubiquitin–proteasome / protein degradation,deubiquitinat,False
TEX22,0.63481,1.2786,1.2786,0.012712,0.020326,0.87425,0.79026,T1-core,new,-0.1655274970211869,False,Other / unclear,no keyword match,True
C17orf49,0.75346,1.2823,1.2823,0.0,0.039431,1.1504,1.1488,T1-core,new,,False,Transcription / chromatin (likely general),chromatin,True
TMEM199,0.7716,1.2825,1.2825,0.0,0.000825,1.1169,1.1224,T1-core,new,-0.6085955793293277,False,Other / unclear,no keyword match,True
IPO11,0.74032,1.2884,1.2884,0.0,0.01422,1.1847,0.97212,T1-core,new,-1.3253864220011642,False,Other / unclear,no keyword match,True
XPOT,0.70194,1.2936,1.2936,0.0,0.017654,1.0546,0.99281,T1-core,new,-0.6633905075888028,False,Other / unclear,no keyword match,True
ATP6V1C1,0.7489,1.2952,1.2952,0.0,0.032612,1.1623,1.0801,T1-core,new,-0.9292671766665468,False,Polarized exocytosis & fusion,synaptic vesicle,False
TCERG1,0.73568,1.2952,1.2952,0.0,0.010689,1.2004,1.0618,T1-core,new,-0.3503681455871898,False,Spliceosome / RNA processing (likely general),rna splic,True
SRF,0.67863,1.2954,1.2954,0.0,0.03534,0.88984,1.1077,T1-core,new,-0.404693681861756,False,Actin & Rho signaling,actin cytoskeleton organization,False
TSEN54,0.68447,1.3071,1.3071,0.0,0.014463,1.1924,0.88711,T1-core,new,-0.9700130200957838,False,Spliceosome / RNA processing (likely general),rna splic,True
SLC2A8,0.71951,1.3088,1.3088,0.0,0.029364,0.96675,1.0446,T1-core,new,0.3137443373818336,True,Transport — ion channels & solute carriers,solute carrier,False
ZNF71,0.67644,1.3151,1.3151,0.0,0.007651,0.88086,0.91118,T1-core,new,-0.0077378352329465,False,Transcription / chromatin (likely general),transcription by rna pol,True
TSEN2,0.70878,1.329,1.329,0.0,0.009767,0.95214,0.98613,T1-core,new,-0.6102089149500073,False,Spliceosome / RNA processing (likely general),rna splic,True
NUDT5,0.6259,1.3356,1.3356,0.015686,0.04637,1.0413,0.71475,T1-core,new,0.0320252984537157,False,Transcription / chromatin (likely general),chromatin,True
PRPF38B,0.64477,1.3461,1.3461,0.0088889,0.027434,1.1038,0.79574,T1-core,new,-1.7519439807813952,False,Spliceosome / RNA processing (likely general),pre-mrna,True
MXD1,0.63729,1.3463,1.3463,0.0088889,0.017073,0.77498,1.0363,T1-core,new,0.1432742566982895,False,Transcription / chromatin (likely general),transcription by rna pol,True
CARD17,0.61399,1.3498,1.3498,0.018868,0.011515,1.0446,0.76901,T1-core,new,,False,Cytokine / GPCR / surface receptor signaling,interleukin,False
TSEN15,0.68103,1.3516,1.3516,0.0,0.004208,0.97009,0.96948,T1-core,new,0.1006299749893539,False,Spliceosome / RNA processing (likely general),rna splic,True
IFI30,0.6482,1.3548,1.3548,0.0088889,0.004275,0.88864,0.9312,T1-core,new,-0.1010860522752872,False,Antigen processing & presentation (MHC-I),antigen process,False
VPS8,0.63329,1.3693,1.3693,0.012712,0.007651,0.88421,0.94097,T1-core,new,-0.0334564020778279,False,Polarized exocytosis & fusion,\bsnare\b,False
USP8,0.61857,1.372,1.372,0.018868,0.003182,1.0176,0.90858,T1-core,new,-0.9526008373638586,False,Ubiquitin–proteasome / protein degradation,deubiquitinat,False
EMC2,0.62722,1.3803,1.3803,0.015686,0.004125,0.87199,0.93879,T1-core,new,-0.4272323849488809,False,Membrane-protein biogenesis (ER/GET/ERAD),tail-anchored,False
STIM1,0.61317,1.3824,1.3824,0.021505,0.010809,0.87116,0.89782,T1-core,new,0.0893020541220232,True,Other / unclear,no keyword match,True
NOTCH2,0.5579,1.3894,1.3894,0.050139,0.042079,0.70848,0.94946,T1-core,new,-0.1321472909928773,True,Transcription / chromatin (likely general),transcription by rna pol,True
UBE2N,0.57333,1.4016,1.4016,0.039514,0.025846,0.76577,0.85913,T1-core,new,-1.9351133580094655,False,Ubiquitin–proteasome / protein degradation,ubiquitin-protein transferase,False
HTR3C,0.56325,1.4251,1.4251,0.048991,0.018894,0.85224,0.6882,T1-core,new,-0.0273395860218578,True,Transport — ion channels & solute carriers,ion channel,False
UGCG,0.50998,1.4467,1.4467,0.074766,0.010025,0.87038,0.61441,T1-core,new,-0.1531065414488346,False,Membrane lipid remodeling,sphingolipid,False
ZFYVE20,0.50452,1.4537,1.4537,0.076577,0.021272,0.71879,0.62638,T1-core,new,-0.061009024174838,False,ER-Golgi / COPII vesicular transport,golgi organization,False
